READING_TIME,READING_VALUE,weekday,hour,minute
2013-07-16 16:24:42,17.653,1,16,24
2013-07-16 16:54:51,17.653,1,16,54
2013-07-16 17:25:00,17.653,1,17,25
2013-07-16 18:25:34,17.653,1,18,25
2013-07-16 19:26:07,17.653,1,19,26
2013-07-16 19:56:22,17.653,1,19,56
2013-07-16 20:26:37,17.653,1,20,26
2013-07-16 20:56:51,17.653,1,20,56
2013-07-16 21:27:06,17.653,1,21,27
2013-07-16 21:57:21,17.653,1,21,57
2013-07-16 22:27:35,17.653,1,22,27
2013-07-16 22:57:50,17.653,1,22,57
2013-07-16 23:28:03,17.653,1,23,28
2013-07-16 23:58:17,17.653,1,23,58
2013-07-17 00:28:32,17.653,2,0,28
2013-07-17 00:58:46,17.653,2,0,58
2013-07-17 01:29:01,17.653,2,1,29
2013-07-17 01:59:15,17.653,2,1,59
2013-07-17 02:29:29,17.653,2,2,29
2013-07-17 02:59:44,17.653,2,2,59
2013-07-17 03:29:58,17.653,2,3,29
2013-07-17 04:00:13,17.653,2,4,0
2013-07-17 04:30:27,17.653,2,4,30
2013-07-17 05:00:40,17.653,2,5,0
2013-07-17 05:30:55,17.653,2,5,30
2013-07-17 06:01:09,17.653,2,6,1
2013-07-17 06:31:23,17.653,2,6,31
2013-07-17 07:01:38,17.653,2,7,1
2013-07-17 07:31:52,18.166,2,7,31
2013-07-17 08:02:08,20.077,2,8,2
2013-07-17 08:32:22,21.428,2,8,32
2013-07-17 09:34:16,21.428,2,9,34
2013-07-17 10:04:30,21.428,2,10,4
2013-07-17 11:05:04,21.428,2,11,5
2013-07-17 11:35:21,21.428,2,11,35
2013-07-17 12:05:35,21.428,2,12,5
2013-07-17 12:36:57,21.428,2,12,36
2013-07-17 13:07:05,21.428,2,13,7
2013-07-17 13:37:20,21.428,2,13,37
2013-07-17 14:07:35,21.428,2,14,7
2013-07-17 15:08:08,21.428,2,15,8
2013-07-17 15:38:22,21.428,2,15,38
2013-07-17 16:08:37,21.428,2,16,8
2013-07-17 16:38:51,21.428,2,16,38
2013-07-17 17:09:05,21.428,2,17,9
2013-07-17 17:39:20,21.428,2,17,39
2013-07-17 18:09:34,21.428,2,18,9
2013-07-17 18:39:49,21.428,2,18,39
2013-07-17 19:10:03,21.428,2,19,10
2013-07-17 19:40:18,21.428,2,19,40
2013-07-17 20:10:32,21.428,2,20,10
2013-07-17 20:40:47,21.428,2,20,40
2013-07-17 21:11:01,21.428,2,21,11
2013-07-17 21:41:16,22.048000000000002,2,21,41
2013-07-17 22:11:32,23.943,2,22,11
2013-07-17 22:41:45,25.193,2,22,41
2013-07-17 23:11:59,25.193,2,23,11
2013-07-17 23:42:14,25.193,2,23,42
2013-07-18 00:12:29,25.193,3,0,12
2013-07-18 00:42:44,25.193,3,0,42
2013-07-18 01:12:58,25.193,3,1,12
2013-07-18 01:43:13,25.193,3,1,43
2013-07-18 02:13:27,25.193,3,2,13
2013-07-18 02:43:42,25.193,3,2,43
2013-07-18 03:13:56,25.193,3,3,13
2013-07-18 03:44:11,25.193,3,3,44
2013-07-18 04:14:25,25.193,3,4,14
2013-07-18 04:44:40,25.193,3,4,44
2013-07-18 05:14:55,25.193,3,5,14
2013-07-18 05:45:09,25.193,3,5,45
2013-07-18 06:15:23,25.193,3,6,15
2013-07-18 06:45:37,25.193,3,6,45
2013-07-18 07:15:53,25.193,3,7,15
2013-07-18 07:46:08,25.193,3,7,46
2013-07-18 08:16:22,25.193,3,8,16
2013-07-18 08:46:36,25.193,3,8,46
2013-07-18 09:30:21,25.193,3,9,30
2013-07-18 10:00:35,25.193,3,10,0
2013-07-18 10:31:11,25.193,3,10,31
2013-07-18 11:31:40,25.193,3,11,31
2013-07-18 12:01:54,25.193,3,12,1
2013-07-18 12:32:09,25.193,3,12,32
2013-07-18 13:02:24,25.193,3,13,2
2013-07-18 13:32:39,25.193,3,13,32
2013-07-18 14:02:54,25.193,3,14,2
2013-07-18 14:33:08,25.193,3,14,33
2013-07-18 15:03:18,25.193,3,15,3
2013-07-18 15:33:32,25.193,3,15,33
2013-07-18 16:03:44,25.193,3,16,3
2013-07-18 16:33:58,25.193,3,16,33
2013-07-18 17:04:13,25.193,3,17,4
2013-07-18 17:34:27,25.193,3,17,34
2013-07-18 18:04:42,25.193,3,18,4
2013-07-18 18:34:56,25.193,3,18,34
2013-07-18 19:05:11,25.193,3,19,5
2013-07-18 19:35:24,25.193,3,19,35
2013-07-18 20:05:39,25.193,3,20,5
2013-07-18 20:35:54,25.193,3,20,35
2013-07-18 21:06:08,25.193,3,21,6
2013-07-18 21:36:23,25.381,3,21,36
2013-07-18 22:06:38,27.275,3,22,6
2013-07-18 22:36:53,28.955,3,22,36
2013-07-18 23:07:07,28.955,3,23,7
2013-07-18 23:37:22,28.955,3,23,37
2013-07-19 00:07:37,28.955,4,0,7
2013-07-19 00:37:51,28.955,4,0,37
2013-07-19 01:08:06,28.955,4,1,8
2013-07-19 01:38:21,28.955,4,1,38
2013-07-19 02:08:36,28.955,4,2,8
2013-07-19 02:38:50,28.955,4,2,38
2013-07-19 03:09:03,28.955,4,3,9
2013-07-19 03:39:18,28.955,4,3,39
2013-07-19 04:09:33,28.955,4,4,9
2013-07-19 04:39:47,28.955,4,4,39
2013-07-19 05:10:49,28.955,4,5,10
2013-07-19 05:43:47,28.955,4,5,43
2013-07-19 06:17:00,28.955,4,6,17
2013-07-19 07:22:14,28.955,4,7,22
2013-07-19 08:22:40,28.955,4,8,22
2013-07-19 09:00:02,28.955,4,9,0
2013-07-19 09:30:17,28.955,4,9,30
2013-07-19 10:00:32,28.955,4,10,0
2013-07-19 10:31:10,28.955,4,10,31
2013-07-19 11:01:25,28.955,4,11,1
2013-07-19 11:31:40,28.955,4,11,31
2013-07-19 12:01:54,28.955,4,12,1
2013-07-19 12:32:09,28.955,4,12,32
2013-07-19 13:02:24,28.955,4,13,2
2013-07-19 13:32:38,28.955,4,13,32
2013-07-19 14:33:12,28.955,4,14,33
2013-07-19 15:03:27,28.955,4,15,3
2013-07-19 15:33:41,28.955,4,15,33
2013-07-19 16:03:56,29.815,4,16,3
2013-07-19 16:34:10,31.719,4,16,34
2013-07-19 17:04:26,31.826999999999998,4,17,4
2013-07-19 17:34:40,31.826999999999998,4,17,34
2013-07-19 18:04:55,31.826999999999998,4,18,4
2013-07-19 18:35:09,31.826999999999998,4,18,35
2013-07-19 19:05:24,31.826999999999998,4,19,5
2013-07-19 20:05:53,31.826999999999998,4,20,5
2013-07-19 20:36:08,31.826999999999998,4,20,36
2013-07-19 21:06:22,31.826999999999998,4,21,6
2013-07-19 21:36:36,31.826999999999998,4,21,36
2013-07-19 22:06:51,31.826999999999998,4,22,6
2013-07-19 22:37:05,31.826999999999998,4,22,37
2013-07-19 23:07:20,31.826999999999998,4,23,7
2013-07-19 23:37:34,31.826999999999998,4,23,37
2013-07-20 00:07:49,31.826999999999998,5,0,7
2013-07-20 00:38:03,31.826999999999998,5,0,38
2013-07-20 01:08:18,31.826999999999998,5,1,8
2013-07-20 01:38:31,31.826999999999998,5,1,38
2013-07-20 02:08:46,31.826999999999998,5,2,8
2013-07-20 02:39:01,31.826999999999998,5,2,39
2013-07-20 03:09:16,31.826999999999998,5,3,9
2013-07-20 03:39:31,31.826999999999998,5,3,39
2013-07-20 04:09:46,31.826999999999998,5,4,9
2013-07-20 04:40:00,31.826999999999998,5,4,40
2013-07-20 05:10:15,31.826999999999998,5,5,10
2013-07-20 05:40:29,31.826999999999998,5,5,40
2013-07-20 06:10:44,31.826999999999998,5,6,10
2013-07-20 06:40:59,31.826999999999998,5,6,40
2013-07-20 07:11:12,31.826999999999998,5,7,11
2013-07-20 07:41:27,31.826999999999998,5,7,41
2013-07-20 08:11:41,32.544000000000004,5,8,11
2013-07-20 08:41:56,34.439,5,8,41
2013-07-20 09:00:04,35.571999999999996,5,9,0
2013-07-20 09:30:18,35.586,5,9,30
2013-07-20 10:00:34,35.586,5,10,0
2013-07-20 10:31:10,35.586,5,10,31
2013-07-20 11:01:25,35.586,5,11,1
2013-07-20 11:31:39,35.586,5,11,31
2013-07-20 12:01:54,35.586,5,12,1
2013-07-20 13:02:28,35.586,5,13,2
2013-07-20 13:32:43,35.586,5,13,32
2013-07-20 14:02:57,35.586,5,14,2
2013-07-20 14:33:12,35.586,5,14,33
2013-07-20 15:03:26,35.586,5,15,3
2013-07-20 15:33:41,35.586,5,15,33
2013-07-20 16:34:14,35.586,5,16,34
2013-07-20 17:34:48,35.586,5,17,34
2013-07-20 18:05:03,35.586,5,18,5
2013-07-20 18:35:18,35.586,5,18,35
2013-07-20 19:05:32,35.586,5,19,5
2013-07-20 19:35:47,35.586,5,19,35
2013-07-20 20:06:01,35.586,5,20,6
2013-07-20 20:36:16,35.586,5,20,36
2013-07-20 21:06:30,35.586,5,21,6
2013-07-20 21:36:45,35.586,5,21,36
2013-07-20 22:07:00,35.586,5,22,7
2013-07-20 22:37:24,35.586,5,22,37
2013-07-20 23:07:38,35.586,5,23,7
2013-07-20 23:37:53,35.586,5,23,37
2013-07-21 00:08:08,35.586,6,0,8
2013-07-21 00:38:22,35.586,6,0,38
2013-07-21 01:08:37,35.586,6,1,8
2013-07-21 01:38:51,35.586,6,1,38
2013-07-21 02:09:06,35.586,6,2,9
2013-07-21 02:39:20,35.586,6,2,39
2013-07-21 03:09:35,35.586,6,3,9
2013-07-21 03:39:51,35.586,6,3,39
2013-07-21 04:10:04,35.586,6,4,10
2013-07-21 04:40:20,35.586,6,4,40
2013-07-21 05:10:34,35.586,6,5,10
2013-07-21 05:40:49,35.586,6,5,40
2013-07-21 06:11:04,35.586,6,6,11
2013-07-21 06:41:18,35.586,6,6,41
2013-07-21 07:11:33,35.586,6,7,11
2013-07-21 07:41:47,35.586,6,7,41
2013-07-21 08:12:01,35.586,6,8,12
2013-07-21 08:42:16,35.586,6,8,42
2013-07-21 09:00:05,35.586,6,9,0
2013-07-21 09:30:19,36.675,6,9,30
2013-07-21 10:00:31,38.546,6,10,0
2013-07-21 10:31:11,39.306,6,10,31
2013-07-21 11:01:26,39.306,6,11,1
2013-07-21 11:31:41,39.306,6,11,31
2013-07-21 12:01:55,39.306,6,12,1
2013-07-21 12:32:10,39.306,6,12,32
2013-07-21 13:02:25,39.306,6,13,2
2013-07-21 13:32:40,39.306,6,13,32
2013-07-21 14:02:55,39.306,6,14,2
2013-07-21 14:33:09,39.306,6,14,33
2013-07-21 15:03:25,39.306,6,15,3
2013-07-21 15:33:39,39.306,6,15,33
2013-07-21 16:03:54,39.306,6,16,3
2013-07-21 16:34:09,39.306,6,16,34
2013-07-21 17:04:24,39.306,6,17,4
2013-07-21 17:34:38,39.306,6,17,34
2013-07-21 18:04:52,39.306,6,18,4
2013-07-21 18:35:07,39.306,6,18,35
2013-07-21 19:05:21,39.306,6,19,5
2013-07-21 20:05:48,39.306,6,20,5
2013-07-21 20:36:03,39.306,6,20,36
2013-07-21 21:06:18,39.306,6,21,6
2013-07-21 21:36:32,39.306,6,21,36
2013-07-21 22:06:47,40.289,6,22,6
2013-07-21 22:37:02,42.21,6,22,37
2013-07-21 23:07:17,43.126000000000005,6,23,7
2013-07-21 23:37:30,43.126000000000005,6,23,37
2013-07-22 00:07:45,43.126000000000005,0,0,7
2013-07-22 00:38:00,43.126000000000005,0,0,38
2013-07-22 01:08:15,43.126000000000005,0,1,8
2013-07-22 01:38:30,43.126000000000005,0,1,38
2013-07-22 02:08:44,43.126000000000005,0,2,8
2013-07-22 02:38:59,43.126000000000005,0,2,38
2013-07-22 03:09:14,43.126000000000005,0,3,9
2013-07-22 03:39:29,43.126000000000005,0,3,39
2013-07-22 04:09:43,43.126000000000005,0,4,9
2013-07-22 04:39:58,43.126000000000005,0,4,39
2013-07-22 05:10:11,43.126000000000005,0,5,10
2013-07-22 05:40:26,43.126000000000005,0,5,40
2013-07-22 06:10:40,43.126000000000005,0,6,10
2013-07-22 07:12:04,43.126000000000005,0,7,12
2013-07-22 07:44:18,43.126000000000005,0,7,44
2013-07-22 08:14:32,43.126000000000005,0,8,14
2013-07-22 08:44:47,43.126000000000005,0,8,44
2013-07-22 09:00:07,43.126000000000005,0,9,0
2013-07-22 09:30:16,43.126000000000005,0,9,30
2013-07-22 10:00:31,43.126000000000005,0,10,0
2013-07-22 10:31:11,43.126000000000005,0,10,31
2013-07-22 11:01:26,43.126000000000005,0,11,1
2013-07-22 11:31:40,43.126000000000005,0,11,31
2013-07-22 12:01:55,43.126000000000005,0,12,1
2013-07-22 12:32:10,43.126000000000005,0,12,32
2013-07-22 13:02:24,43.126000000000005,0,13,2
2013-07-22 13:32:39,43.126000000000005,0,13,32
2013-07-22 14:02:54,43.126000000000005,0,14,2
2013-07-22 14:33:09,43.126000000000005,0,14,33
2013-07-22 15:03:23,43.126000000000005,0,15,3
2013-07-22 15:33:38,43.126000000000005,0,15,33
2013-07-22 16:03:53,43.126000000000005,0,16,3
2013-07-22 16:34:08,43.126000000000005,0,16,34
2013-07-22 17:04:23,43.126000000000005,0,17,4
2013-07-22 17:34:37,43.126000000000005,0,17,34
2013-07-22 18:04:53,43.126000000000005,0,18,4
2013-07-22 18:35:07,43.126000000000005,0,18,35
2013-07-22 19:05:22,43.126000000000005,0,19,5
2013-07-22 19:35:37,43.126000000000005,0,19,35
2013-07-22 20:05:52,43.126000000000005,0,20,5
2013-07-22 20:36:07,43.126000000000005,0,20,36
2013-07-22 21:06:22,43.126000000000005,0,21,6
2013-07-22 21:36:37,43.788999999999994,0,21,36
2013-07-22 22:06:51,45.667,0,22,6
2013-07-22 22:37:05,46.883,0,22,37
2013-07-22 23:07:20,46.883,0,23,7
2013-07-22 23:37:34,46.883,0,23,37
2013-07-23 00:07:49,46.883,1,0,7
2013-07-23 00:38:04,46.883,1,0,38
2013-07-23 01:08:19,46.883,1,1,8
2013-07-23 01:38:32,46.883,1,1,38
2013-07-23 02:08:47,46.883,1,2,8
2013-07-23 03:09:22,46.883,1,3,9
2013-07-23 03:39:36,46.883,1,3,39
2013-07-23 04:09:50,46.883,1,4,9
2013-07-23 04:40:05,46.883,1,4,40
2013-07-23 05:10:20,46.883,1,5,10
2013-07-23 05:40:35,46.883,1,5,40
2013-07-23 06:10:49,46.883,1,6,10
2013-07-23 06:41:04,46.883,1,6,41
2013-07-23 07:11:19,46.883,1,7,11
2013-07-23 07:41:33,46.883,1,7,41
2013-07-23 08:11:48,46.883,1,8,11
2013-07-23 08:42:03,46.883,1,8,42
2013-07-23 09:00:05,46.883,1,9,0
2013-07-23 09:30:20,46.883,1,9,30
2013-07-23 10:00:30,46.883,1,10,0
2013-07-23 11:01:26,46.883,1,11,1
2013-07-23 11:31:40,46.883,1,11,31
2013-07-23 12:01:56,46.883,1,12,1
2013-07-23 12:32:09,46.883,1,12,32
2013-07-23 13:02:24,46.883,1,13,2
2013-07-23 13:32:39,46.883,1,13,32
2013-07-23 14:02:53,46.883,1,14,2
2013-07-23 14:33:08,46.883,1,14,33
2013-07-23 15:03:22,46.883,1,15,3
2013-07-23 15:33:36,46.883,1,15,33
2013-07-23 16:03:50,46.883,1,16,3
2013-07-23 16:34:04,46.883,1,16,34
2013-07-23 17:04:18,46.883,1,17,4
2013-07-23 17:34:33,46.883,1,17,34
2013-07-23 18:04:48,46.883,1,18,4
2013-07-23 18:35:03,46.883,1,18,35
2013-07-23 19:05:17,46.883,1,19,5
2013-07-23 19:35:32,46.883,1,19,35
2013-07-23 20:05:46,46.883,1,20,5
2013-07-23 20:36:01,46.883,1,20,36
2013-07-23 21:06:15,46.883,1,21,6
2013-07-23 21:36:30,46.883,1,21,36
2013-07-23 22:06:45,46.883,1,22,6
2013-07-23 22:36:59,46.883,1,22,36
2013-07-24 00:07:51,46.883,2,0,7
2013-07-24 00:38:06,46.883,2,0,38
2013-07-24 01:08:21,46.883,2,1,8
2013-07-24 01:38:35,46.883,2,1,38
2013-07-24 02:08:50,46.883,2,2,8
2013-07-24 02:39:05,46.883,2,2,39
2013-07-24 03:09:19,46.883,2,3,9
2013-07-24 03:39:31,46.883,2,3,39
2013-07-24 04:09:45,46.883,2,4,9
